POC_Result,BMP_Result
94,85
113,119
147,143
186,177
346,403
266,277
100,88
168,170
186,156
58,52
112,120
130,124
94,106
111,116
184,175
200,214
441,446
131,137
194,178
127,122
139,150
218,202
116,116
505,549
161,166
128,129
219,226
95,112
132,130
164,171
115,136
86,114
345,344
159,164
122,117
197,198
130,123
255,247
80,73
103,103
90,88
121,111
123,124
156,173
118,118
90,91
169,162
108,108
194,231
114,108
122,110
118,127
165,160
273,248
224,243
144,127
191,174
237,243
229,214
102,90
101,104
105,106
103,100
119,129
385,427
137,149
136,151
48,44
142,149
103,98
178,201
91,98
179,183
216,227
208,235
495,562
276,274
164,148
104,120
380,406
101,102
263,259
146,149
91,98
88,86
168,169
104,123
165,178
107,109
84,91
149,160
189,210
410,472
233,222
92,95
113,110
371,384
201,217
100,104
92,93
174,88
118,125
104,115
103,106
187,194
102,106
180,185
120,132
111,108
148,156
150,149
101,103
212,228
178,190
105,111
187,172
207,227
139,156
201,202
326,344
127,125
137,138
147,138
158,143
125,137
164,160
111,105
150,140
114,114
95,97
217,239
116,124
113,103
143,156
92,94
122,116
102,109
181,179
185,182
117,120
131,126
175,177
122,125
94,98
85,76
380,411
84,144
125,131
325,318
145,150
143,132
177,187
168,177
265,270
260,271
77,70
147,127
110,119
88,87
160,155
248,277
91,90
128,129
107,108
291,319
180,171
194,198
151,145
123,127
148,146
153,140
169,167
136,130
110,118
112,119
152,164
154,152
176,169
158,150
184,186
94,94
128,131
95,94
134,132
146,169
171,154
104,115
165,169
97,100
379,459
175,172
85,91
143,144
81,84
133,133
357,422
117,122
129,127
141,135
231,234
459,500
114,109
106,115
77,74
122,120
128,138
125,131
118,114
197,215
141,150
102,101
85,80
157,156
75,72
172,185
86,90
153,144
174,173
140,136
144,137
98,107
168,171
201,200
216,215
378,403
143,153
102,109
153,150
150,152
141,136
118,115
109,103
133,133
139,146
86,97
123,141
115,113
137,135
145,195
108,124
175,161
396,439
158,142
120,132
146,144
140,132
104,102
110,328
117,129
156,250
125,139
102,106
106,104
214,215
172,162
151,162
205,208
130,129
160,163
208,213
116,111
73,59
137,136
156,156
140,146
187,157
330,345
146,151
123,130
146,152
390,137
201,144
147,148
158,172
133,129
210,192
143,136
92,102
123,123
105,98
104,98
179,190
146,138
101,98
80,76
77,77
207,202
109,115
134,120
91,91
146,136
114,137
326,339
124,120
136,128
110,120
125,130
104,112
281,298
147,157
191,142
105,103
101,102
73,72
136,146
91,98
189,200
93,108
291,300
116,116
185,184
97,99
186,208
106,116
251,199
91,99
133,169
92,95
175,149
157,164
92,137
139,151
107,122
95,100
511,618
110,121
109,118
303,227
171,173
186,202
95,100
161,174
87,91
103,102
160,156
68,68
93,96
127,121
125,133
135,139
220,216
140,132
218,219
163,193
181,190
112,114
188,198
73,84
102,103
160,167
28,23
105,107
172,166
200,191
146,154
100,97
79,78
164,161
117,116
135,141
198,188
194,185
204,206
138,127
238,240
304,326
391,369
122,124
225,225
117,121
115,115
122,124
121,107
96,100
228,230
180,188
116,115
248,267
62,57
112,116
131,133
284,282
76,124
94,135
108,118
101,108
211,232
108,116
102,97
133,143
115,105
94,97
196,198
170,155
133,134
87,86
144,141
162,156
110,119
134,133
171,174
86,95
154,158
216,203
145,131
266,269
79,79
130,124
105,110
153,142
138,130
275,304
503,636
127,134
108,108
117,112
181,213
200,208
78,75
257,246
450,538
121,127
144,162
127,115
117,122
144,167
215,204
106,105
112,132
303,324
102,109
269,264
241,155
89,127
190,213
190,203
123,126
139,153
130,131
152,146
116,110
197,182
60,65
96,97
142,126
140,140
194,169
98,87
189,174
142,147
85,75
137,151
128,133
88,96
356,435
131,137
150,169
117,105
91,107
173,180
95,95
131,126
147,157
142,98
48,82
105,96
266,284
133,124
84,92
95,94
254,253
154,150
116,121
133,159
132,134
64,57
101,91
69,72
72,67
102,119
204,186
195,223
54,51
139,122
126,124
283,293
150,142
135,139
106,99
105,115
136,133
135,150
83,82
57,94
147,149
156,161
91,90
110,122
98,99
111,117
112,116
115,106
219,228
145,134
142,138
139,133
143,146
145,145
371,407
114,121
169,186
154,147
144,138
141,154
91,85
87,99
64,82
106,124
86,95
149,187
132,124
185,183
94,93
111,115
209,201
120,113
124,127
120,122
98,121
168,170
101,98
117,113
94,88
107,106
91,82
167,191
108,118
165,179
142,143
127,129
111,105
125,111
165,171
271,280
91,90
359,306
161,171
68,66
126,137
153,115
128,124
122,118
120,116
88,107
74,55
98,73
78,77
227,224
157,155
96,96
396,404
139,145
557,725
131,137
162,159
234,228
197,191
144,144
138,150
251,289
169,173
102,104
138,157
180,172
118,127
146,162
82,138
110,115
149,135
276,290
145,140
175,169
84,78
108,88
145,133
108,93
119,123
263,264
45,37
114,126
123,111
141,137
132,132
162,170
142,150
48,49
459,471
92,90
105,112
164,191
140,175
133,143
119,120
128,124
186,209
101,95
109,108
247,281
132,136
182,204
127,143
122,124
194,186
111,117
159,164
116,120
116,114
200,211
131,132
141,139
190,179
214,177
19,16
97,89
123,131
128,134
162,146
179,176
140,140
89,82
98,97
74,67
169,176
114,112
95,95
237,228
113,116
249,216
261,270
93,81
138,132
94,103
194,201
193,197
163,157
121,124
168,154
69,66
143,135
97,96
132,145
163,185
160,161
115,98
162,178
95,90
98,95
111,110
195,193
106,100
108,114
136,140
315,309
123,118
134,132
127,129
85,83
111,112
95,93
130,139
240,238
182,173
202,204
172,172
123,129
135,121
107,115
168,175
175,191
131,123
235,259
274,305
141,149
142,154
111,117
173,194
166,166
340,381
97,95
104,104
66,64
136,134
109,109
94,97
120,134
109,112
112,108
176,186
163,160
202,189
439,505
105,101
181,189
97,90
166,383
119,116
173,149
343,354
96,98
154,148
122,121
100,91
91,92
170,192
111,107
153,141
139,136
125,118
289,321
107,115
85,84
103,103
333,349
98,105
256,253
124,101
207,239
157,165
127,122
190,190
241,239
140,149
268,251
97,98
138,135
215,216
120,120
153,154
138,148
133,155
53,39
89,90
207,225
107,108
356,402
90,86
210,216
160,146
127,115
289,299
117,121
112,109
295,316
156,148
88,99
94,91
115,136
139,136
142,139
143,155
43,37
151,164
92,96
112,104
100,95
140,142
125,106
154,152
229,217
121,122
115,119
130,131
117,121
102,110
260,283
279,276
152,129
121,114
120,125
145,157
252,235
146,138
146,138
153,153
326,325
113,108
266,245
86,83
131,125
209,267
147,143
89,88
181,185
